provider,model,args,avg_score,std_score,num_games,avg_turns_played,win_percentage
openai,gpt-5-2025-08-07,"{'cot': 0, 'reasoning_effort': 'high'}",13.0,1.7321,3,53.0,0.0
xai,grok-4-0709,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",10.0,4.5826,3,39.0,0.0
openai,o3-mini-2025-01-31,"{'cot': 0, 'reasoning_effort': 'high'}",6.8,1.7889,5,59.8,0.0
openai,o4-mini-2025-04-16,"{'cot': 0, 'reasoning_effort': 'high'}",4.3333,3.1411,6,37.0,0.0
openai,o3-mini-2025-01-31,"{'cot': 0, 'reasoning_effort': 'medium'}",3.1,1.4491,10,48.2,0.0
anthropic,claude-3-7-sonnet-20250219,"{'cot': 0, 'thinking_tokens': 16000}",2.9,1.2867,10,14.4,0.0
xai,grok-3-mini-beta,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",2.4,1.3416,5,14.4,0.0
google,gemini-2.5-pro-exp-03-25,{'cot': 0},2.4,2.0736,5,10.8,0.0
anthropic,claude-3-7-sonnet-20250219,"{'cot': 0, 'thinking_tokens': 4096}",1.5,0.9718,10,11.7,0.0
openai,o3-mini-2025-01-31,"{'cot': 0, 'reasoning_effort': 'low'}",1.3,1.2517,10,11.5,0.0
anthropic,claude-3-5-sonnet-20241022,{'cot': 1},1.3,1.4181,10,10.5,0.0
xai,grok-2-1212,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",1.1,0.8756,10,4.1,0.0
groq,deepseek-r1-distill-llama-70b,{'cot': 0},1.0,0.9428,10,4.3,0.0
openai,gpt-4.1-2025-04-14,{'cot': 1},0.7,1.2517,10,5.9,0.0
xai,grok-2-1212,"{'cot': 1, 'base_url': 'https://api.x.ai/v1'}",0.6,0.6992,10,5.1,0.0
anthropic,claude-3-haiku-20240307,{'cot': 0},0.6,0.5164,10,3.6,0.0
groq,llama3-70b-8192,"{'cot': 0, 'base_url': 'https://api.groq.com/openai/v1'}",0.6,0.9661,10,3.6,0.0
groq,deepseek-r1-distill-qwen-32b,{'cot': 0},0.5,0.7071,10,9.0,0.0
anthropic,claude-3-7-sonnet-20250219,{'cot': 0},0.4,0.8944,5,5.0,0.0
groq,gemma2-9b-it,"{'cot': 0, 'base_url': 'https://api.groq.com/openai/v1'}",0.4,0.6992,10,3.4,0.0
anthropic,claude-3-sonnet-20240229,{'cot': 0},0.3,0.483,10,3.4,0.0
openai,gpt-4o-2024-08-06,{'cot': 1},0.2,0.4216,10,4.3,0.0
anthropic,claude-3-5-sonnet-20241022,{'cot': 0},0.1,0.3162,10,4.3,0.0
openai,gpt-4.5-preview-2025-02-27,{'cot': 0},0.1,0.3162,10,3.6,0.0
openai,gpt-4.1-2025-04-14,{'cot': 0},0.0,0.0,3,5.0,0.0
xai,grok-3-beta,"{'cot': 0, 'base_url': 'https://api.x.ai/v1'}",0.0,0.0,5,4.8,0.0
groq,llama3-70b-8192,"{'cot': 1, 'base_url': 'https://api.groq.com/openai/v1'}",0.0,0.0,10,3.5,0.0
anthropic,claude-3-sonnet-20240229,{'cot': 1},0.0,0.0,10,3.3,0.0
openai,gpt-4o-2024-08-06,{'cot': 0},0.0,0.0,10,3.3,0.0
anthropic,claude-3-5-haiku-20241022,{'cot': 1},0.0,0.0,10,3.1,0.0
anthropic,claude-3-haiku-20240307,{'cot': 1},0.0,0.0,10,3.1,0.0
anthropic,claude-3-5-haiku-20241022,{'cot': 0},0.0,0.0,10,3.0,0.0
google,gemini-1.5-flash,{'cot': 0},0.0,0.0,10,3.0,0.0
google,gemini-1.5-flash,{'cot': 1},0.0,0.0,10,3.0,0.0
google,gemini-1.5-flash-8b,{'cot': 0},0.0,0.0,10,3.0,0.0
google,gemini-1.5-flash-8b,{'cot': 1},0.0,0.0,10,3.0,0.0
google,gemini-1.5-pro,{'cot': 0},0.0,0.0,10,3.0,0.0
google,gemini-1.5-pro,{'cot': 1},0.0,0.0,10,3.0,0.0
google,gemini-2.0-flash,{'cot': 0},0.0,0.0,10,3.0,0.0
google,gemini-2.0-flash,{'cot': 1},0.0,0.0,10,3.0,0.0
google,gemini-2.0-flash-lite-preview-02-05,{'cot': 0},0.0,0.0,10,3.0,0.0
google,gemini-2.0-flash-lite-preview-02-05,{'cot': 1},0.0,0.0,10,3.0,0.0
